year,temperature_anomaly,co2
1880,-0.17,858.228
1881,-0.08,888.173
1882,-0.11,938.158
1883,-0.17,997.862
1884,-0.28,1009.762
1885,-0.33,1017.489
1886,-0.31,1032.987
1887,-0.36,1084.283
1888,-0.18,1201.342
1889,-0.11,1202.098
1890,-0.36,1307.255
1891,-0.22,1369.598
1892,-0.27,1380.536
1893,-0.31,1363.18
1894,-0.31,1412.227
1895,-0.23,1495.964
1896,-0.12,1545.451
1897,-0.11,1618.405
1898,-0.28,1706.967
1899,-0.18,1864.424
1900,-0.09,1962.884
1901,-0.16,2025.628
1902,-0.28,2076.956
1903,-0.37,2264.592
1904,-0.48,2290.255
1905,-0.26,2440.571
1906,-0.22,2548.978
1907,-0.39,2904.949
1908,-0.43,2790.395
1909,-0.49,2907.112
1910,-0.44,3050.273
1911,-0.45,3097.207
1912,-0.37,3253.929
1913,-0.35,3524.846
1914,-0.16,3197.75
1915,-0.14,3148.031
1916,-0.36,3400.232
1917,-0.46,3556.499
1918,-0.3,3506.085
1919,-0.28,3041.113
1920,-0.28,3546.758
1921,-0.19,3114.994
1922,-0.29,3264.717
1923,-0.27,3702.996
1924,-0.27,3716.143
1925,-0.22,3740.633
1926,-0.11,3677.407
1927,-0.22,4012.947
1928,-0.2,3996.311
1929,-0.36,4288.21
1930,-0.16,3958.094
1931,-0.09,3539.319
1932,-0.16,3192.59
1933,-0.29,3362.682
1934,-0.13,3656.186
1935,-0.2,3835.741
1936,-0.15,4207.929
1937,-0.03,4496.713
1938,0.0,4229.617
1939,-0.02,4470.132
1940,0.12,4884.662
1941,0.18,4999.09
1942,0.06,4982.523
1943,0.09,5075.272
1944,0.2,5162.486
1945,0.09,4289.312
1946,-0.07,4608.545
1947,-0.03,5165.204
1948,-0.11,5447.883
1949,-0.11,5204.033
1950,-0.17,5930.406
1951,-0.07,6381.651
1952,0.01,6467.7
1953,0.08,6651.039
1954,-0.13,6789.734
1955,-0.14,7444.103
1956,-0.19,7926.275
1957,0.05,8185.976
1958,0.06,8417.517
1959,0.03,8855.112
1960,-0.03,9386.951
1961,0.06,9414.99
1962,0.03,9747.241
1963,0.05,10266.777
1964,-0.2,10824.47
1965,-0.11,11310.603
1966,-0.06,11862.625
1967,-0.02,12237.371
1968,-0.08,12905.273
1969,0.05,13761.798
1970,0.03,14899.139
1971,-0.08,15503.862
1972,0.01,16224.579
1973,0.16,17077.285
1974,-0.07,16997.912
1975,-0.01,16988.477
1976,-0.1,17862.492
1977,0.18,18358.039
1978,0.07,19024.742
1979,0.16,19508.59
1980,0.26,19409.793
1981,0.32,18879.756
1982,0.14,18729.742
1983,0.31,18901.775
1984,0.16,19457.25
1985,0.12,20144.863
1986,0.18,20438.045
1987,0.32,21106.189
1988,0.39,21918.756
1989,0.27,22200.213
1990,0.45,22732.145
1991,0.4,23205.592
1992,0.22,22520.424
1993,0.23,22749.873
1994,0.31,22974.598
1995,0.44,23516.639
1996,0.33,24233.477
1997,0.46,24380.322
1998,0.61,24295.713
1999,0.38,24837.771
2000,0.39,25511.482
2001,0.53,25692.994
2002,0.63,26265.332
2003,0.61,27652.691
2004,0.53,28610.023
2005,0.68,29598.951
2006,0.64,30594.152
2007,0.66,31499.256
2008,0.54,32049.66
2009,0.65,31513.014
2010,0.72,33317.672
2011,0.61,34479.988
2012,0.64,34954.734
2013,0.67,35275.82
2014,0.75,35465.695
2015,0.89,35403.527
2016,1.01,35392.832
2017,0.91,35974.609
2018,0.85,36734.004
2019,0.98,37086.566
2020,1.01,35158.23
2021,0.85,36866.863
2022,0.89,37527.773
2023,1.17,38094.039
2024,1.28,38598.578
